## Summary for ULSE-n2, regularized=0.1 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.997795531679 ± 0.006289525022
p0.55_q0.2 0.993317495028 ± 0.009793006505
p0.5_q0.2 0.979735823401 ± 0.021389231689
p0.45_q0.2 0.941496993737 ± 0.040005358605
p0.4_q0.2 0.783376323687 ± 0.069784033267
p0.35_q0.2 0.537214129982 ± 0.039690484498
p0.3_q0.2 0.322736353563 ± 0.036747243136
p0.25_q0.2 0.024422510174 ± 0.019378919146
p0.2_q0.2 0.006548857952 ± 0.003608279401
p0.1_q0.2 0.411361288754 ± 0.036109705565

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.999031768211 ± 0.002742505052
p0.55_q0.2 0.996957006972 ± 0.004457576665
p0.5_q0.2 0.990869298175 ± 0.009867920366
p0.45_q0.2 0.968714131709 ± 0.024933742135
p0.4_q0.2 0.838948019663 ± 0.075621651514
p0.35_q0.2 0.561096643331 ± 0.037655313502
p0.3_q0.2 0.365883886159 ± 0.037552705572
p0.25_q0.2 0.022399761870 ± 0.021298557275
p0.2_q0.2 -0.000873205958 ± 0.002797734272
p0.1_q0.2 0.445564009159 ± 0.027206910378

