## Summary for UASE, regularized=0 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.999164951226 ± 0.002505146777
p0.55_q0.2 0.991259410088 ± 0.016214376104
p0.5_q0.2 0.969773010105 ± 0.025209873907
p0.45_q0.2 0.805130195969 ± 0.083885849914
p0.4_q0.2 0.613413353581 ± 0.038793081521
p0.35_q0.2 0.491397606503 ± 0.026275791623
p0.3_q0.2 0.319215594859 ± 0.035716721062
p0.25_q0.2 0.021262169725 ± 0.014488652263
p0.2_q0.2 0.005854158905 ± 0.002949761302
p0.1_q0.2 0.423216139204 ± 0.043094854143

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.999625401538 ± 0.001123808695
p0.55_q0.2 0.996036814000 ± 0.007477940663
p0.5_q0.2 0.985295503260 ± 0.013731210752
p0.45_q0.2 0.831278435748 ± 0.095427888666
p0.4_q0.2 0.601761135843 ± 0.041790898837
p0.35_q0.2 0.510818854858 ± 0.020791742165
p0.3_q0.2 0.362052199311 ± 0.040105642017
p0.25_q0.2 0.018754960616 ± 0.018984717337
p0.2_q0.2 0.000471162568 ± 0.003814735643
p0.1_q0.2 0.459651378401 ± 0.046617799383

