## Summary for ULSE-n1, regularized=0.1 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.997264393838 ± 0.008206818487
p0.55_q0.2 0.995896590756 ± 0.009768067809
p0.5_q0.2 0.985590708469 ± 0.015522903707
p0.45_q0.2 0.935929640082 ± 0.042008840722
p0.4_q0.2 0.759016126738 ± 0.087476588603
p0.35_q0.2 0.537035943455 ± 0.044799500995
p0.3_q0.2 0.347925555393 ± 0.031682268804
p0.25_q0.2 0.044608798876 ± 0.025504115472
p0.2_q0.2 0.005624985005 ± 0.002623105657
p0.1_q0.2 0.004614051875 ± 0.003204013193

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 0.998811810246 ± 0.003564569263
p0.55_q0.2 0.998217715368 ± 0.004242686046
p0.5_q0.2 0.993664673638 ± 0.006731057938
p0.45_q0.2 0.966469400468 ± 0.025575097954
p0.4_q0.2 0.806175311974 ± 0.097771412924
p0.35_q0.2 0.559920761252 ± 0.043375211085
p0.3_q0.2 0.393213945547 ± 0.031395964112
p0.25_q0.2 0.050272837290 ± 0.033881797898
p0.2_q0.2 -0.000858731355 ± 0.003002558427
p0.1_q0.2 -0.000940146770 ± 0.003149727889

