## Summary for ULSE-n2, regularized=0.1 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999604413519 ± 0.001724321492
p0.45_q0.2 0.994233951128 ± 0.008656242173
p0.4_q0.2 0.969811537393 ± 0.016716186602
p0.35_q0.2 0.831103559657 ± 0.034140020462
p0.3_q0.2 0.387570447788 ± 0.066731828109
p0.25_q0.2 0.017325096344 ± 0.008663278525
p0.2_q0.2 0.005086578930 ± 0.002474464745
p0.1_q0.2 0.583474150280 ± 0.052724046138

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999748919297 ± 0.001094435411
p0.45_q0.2 0.996765586876 ± 0.004722194829
p0.4_q0.2 0.981664423138 ± 0.010297701531
p0.35_q0.2 0.889329790887 ± 0.024197370314
p0.3_q0.2 0.466065774895 ± 0.075430394058
p0.25_q0.2 0.012288931477 ± 0.010200324631
p0.2_q0.2 -0.000920884634 ± 0.002655532030
p0.1_q0.2 0.655711287298 ± 0.049838005832

