## Evaluation for rep_type: ULSE-n1, regularized: 0.1, p: 0.5, q: 0.2 ##

### Metric: NMI ###
Run 0: Time scores: [0.9499, 1.0000, 1.0000] | Average: 0.983314579068
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [0.9570, 1.0000, 1.0000] | Average: 0.985665170575
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 0.8389, 1.0000] | Average: 0.946312098482
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [0.9748, 1.0000, 1.0000] | Average: 0.991611942612
Run 7: Time scores: [0.9749, 0.9205, 1.0000] | Average: 0.965108091710
Run 8: Time scores: [1.0000, 0.9205, 1.0000] | Average: 0.973486132637
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [0.9749, 1.0000, 1.0000] | Average: 0.991621959074
Run 11: Time scores: [1.0000, 0.9179, 1.0000] | Average: 0.972643938376
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [0.9750, 0.9179, 1.0000] | Average: 0.964298226764
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [0.9749, 1.0000, 1.0000] | Average: 0.991621959074
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [1.0000, 0.9205, 1.0000] | Average: 0.973486132637
Run 18: Time scores: [1.0000, 0.9179, 1.0000] | Average: 0.972643938376
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

### Metric: ARI ###
Run 0: Time scores: [0.9777, 1.0000, 1.0000] | Average: 0.992551733869
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [0.9777, 1.0000, 1.0000] | Average: 0.992570927036
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 0.9304, 1.0000] | Average: 0.976798897582
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996246167746
Run 7: Time scores: [0.9888, 0.9657, 1.0000] | Average: 0.984833376146
Run 8: Time scores: [1.0000, 0.9657, 1.0000] | Average: 0.988552834417
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [0.9888, 1.0000, 1.0000] | Average: 0.996280541729
Run 11: Time scores: [1.0000, 0.9644, 1.0000] | Average: 0.988118102455
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [0.9888, 0.9644, 1.0000] | Average: 0.984389413171
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [0.9888, 1.0000, 1.0000] | Average: 0.996280541729
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [1.0000, 0.9657, 1.0000] | Average: 0.988552834417
Run 18: Time scores: [1.0000, 0.9644, 1.0000] | Average: 0.988118102455
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

