## Evaluation for rep_type: ULSE-n2, regularized: 0.1, p: 0.45, q: 0.2 ##

### Metric: NMI ###
Run 0: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [0.9765, 0.9547, 1.0000] | Average: 0.977072191720
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [0.9526, 1.0000, 1.0000] | Average: 0.984191062022
Run 8: Time scores: [0.9763, 1.0000, 0.9562] | Average: 0.977482593857
Run 9: Time scores: [0.9763, 1.0000, 1.0000] | Average: 0.992088270388
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [0.9765, 1.0000, 1.0000] | Average: 0.992171625082
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [0.9526, 1.0000, 1.0000] | Average: 0.984195865787
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9762, 1.0000, 0.9562] | Average: 0.977477413705
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

### Metric: ARI ###
Run 0: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [0.9858, 0.9795, 1.0000] | Average: 0.988440508168
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [0.9702, 1.0000, 1.0000] | Average: 0.990080582808
Run 8: Time scores: [0.9849, 1.0000, 0.9797] | Average: 0.988223045734
Run 9: Time scores: [0.9849, 1.0000, 1.0000] | Average: 0.994978385942
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [0.9859, 1.0000, 1.0000] | Average: 0.995284017706
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [0.9702, 1.0000, 1.0000] | Average: 0.990076820581
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9850, 1.0000, 0.9797] | Average: 0.988228376572
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

