## Evaluation for rep_type: ULSE-n2, regularized: 0.1, p: 0.55, q: 0.2 ##

### Metric: NMI ###
Run 0: Time scores: [0.9749, 1.0000, 1.0000] | Average: 0.991644736137
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [0.9317, 1.0000, 1.0000] | Average: 0.977247951465
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [0.9318, 1.0000, 1.0000] | Average: 0.977258369076
Run 7: Time scores: [1.0000, 0.9179, 1.0000] | Average: 0.972643938376
Run 8: Time scores: [0.9749, 1.0000, 1.0000] | Average: 0.991644736137
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [0.9748, 1.0000, 1.0000] | Average: 0.991611942612
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 0.9179, 1.0000] | Average: 0.972643938376
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9750, 1.0000, 1.0000] | Average: 0.991654288387
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

### Metric: ARI ###
Run 0: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996236720042
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [0.9668, 1.0000, 1.0000] | Average: 0.988939429059
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [0.9669, 1.0000, 1.0000] | Average: 0.988973586922
Run 7: Time scores: [1.0000, 0.9644, 1.0000] | Average: 0.988118102455
Run 8: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996236720042
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996246167746
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 0.9644, 1.0000] | Average: 0.988118102455
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9888, 1.0000, 1.0000] | Average: 0.996271310716
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

